用户		电影		预测rating		实际rating
11898		260		3.5		3.0 
11898		36525		3.5		4.0 
11898		7318		5.0		4.5 
11898		3421		3.0		3.0 
11898		3471		4.0		5.0 
11898		4975		2.5		4.5 
11898		965		4.0		3.5 
11898		34150		2.5		2.5 
11898		6863		3.0		3.5 
11898		4189		3.5		3.0 
11898		46972		3.5		3.0 
11898		2915		3.5		3.5 
11898		32371		3.5		3.5 
11898		1801		3.0		2.5 
11898		6987		2.5		2.5 
11898		31528		3.5		3.5 
11898		1207		4.0		5.0 
11898		4370		3.5		3.5 
11898		8879		3.5		3.0 
11898		27618		-0.5		3.0 
11898		56367		3.5		4.0 
11898		58047		3.5		3.0 
11898		3536		3.5		4.0 
11898		2423		4.0		4.5 
11898		46965		3.0		2.0 
11898		41585		3.5		3.0 
11898		1225		3.5		4.0 
11898		45499		3.0		2.5 
11898		1198		3.5		4.0 
11898		4178		3.5		3.5 
11898		6856		3.5		3.0 
11898		1021		3.5		2.5 
11898		33312		4.0		2.0 
11898		53464		3.5		3.0 
11898		5956		4.0		3.5 
11898		7125		3.5		2.5 
11898		49528		3.5		2.5 
11898		3849		3.5		2.5 
11898		40851		3.5		3.5 
11898		51931		3.5		3.5 
11898		6619		3.5		3.5 
11898		902		2.5		3.5 
11898		4451		3.5		3.5 
11898		31347		3.5		3.0 
11898		43396		3.5		3.0 
11898		1089		2.5		1.5 
11898		1321		3.0		5.0 
11898		58246		3.5		2.5 
11898		593		4.0		5.0 
11898		57538		3.5		2.5 
11898		1994		3.0		4.0 
11898		44694		4.5		4.0 
11898		5158		3.5		3.5 
11898		2078		3.5		3.0 
11898		56587		3.5		3.5 
11898		933		3.5		3.5 
11898		50804		3.5		3.0 
11898		52604		3.5		3.5 
11898		6184		0.5		2.5 
11898		49286		3.5		3.5 
11898		2100		4.5		4.0 
11898		44974		3.5		3.5 
11898		50160		3.5		3.5 
11898		44709		3.5		3.5 
11898		6422		3.0		3.5 
11898		40414		3.0		4.0 
11898		32025		2.5		3.0 
11898		316		3.0		4.0 
11898		7395		3.5		3.5 
11898		55288		3.5		2.5 
11898		1345		3.5		3.0 
11898		356		3.5		5.0 
11898		52435		3.5		3.5 
11898		53125		1.5		1.0 
11898		2080		4.0		2.5 
11898		51638		3.5		3.0 
11898		31427		2.0		4.0 
11898		45950		2.5		0.5 
11898		1086		3.5		4.0 
11898		5502		3.0		4.5 
11898		31251		3.5		2.5 
11898		6727		4.5		2.0 
11898		924		4.5		4.0 
11898		46578		3.0		3.0 
11898		1974		3.5		4.0 
11898		4878		3.0		2.5 
11898		7303		3.5		4.0 
11898		2762		3.5		5.0 
11898		920		4.0		4.0 
11898		53550		3.5		3.5 
11898		59784		3.0		2.5 
11898		43560		3.5		3.0 
11898		51698		3.5		4.0 
11898		49272		3.0		1.5 
11898		48304		3.5		2.5 
11898		2794		3.5		3.0 
11898		1127		3.5		4.0 
11898		46948		1.5		2.0 
11898		58295		3.0		3.0 
11898		1333		4.0		5.0 
11898		49772		3.5		3.5 
11898		56788		3.0		3.0 
11898		48698		2.0		1.0 
11898		185		3.0		3.0 
11898		51925		3.5		3.5 
11898		46919		3.5		4.5 
11898		34583		3.5		2.0 
11898		7891		3.5		2.5 
11898		26554		3.5		3.0 
11898		2398		4.5		3.5 
11898		48516		3.0		2.5 
11898		836		3.5		2.5 
11898		58803		3.0		3.0 
11898		55290		3.0		4.0 
11898		40614		1.5		3.0 
11898		7984		3.5		1.5 
11898		48043		2.5		1.0 
11898		4228		3.5		3.0 
11898		6826		3.5		3.0 
11898		45672		2.5		3.0 
11898		904		3.5		3.5 
11898		8257		3.5		3.5 
11898		4465		3.5		3.0 
11898		44195		4.0		3.5 
11898		4509		3.5		2.0 
11898		8783		3.5		4.0 
11898		3032		2.5		2.5 
11898		6731		2.5		2.5 
11898		60069		2.5		3.0 
11898		46976		3.5		3.5 
11898		33660		3.5		3.5 
11898		8957		4.0		3.5 
11898		2109		3.5		4.0 
11898		41569		2.5		2.5 
11898		1129		3.5		4.0 
11937		40010		4.0		3.0 
12025		3499		4.5		4.0 
12025		2160		4.0		4.5 
12025		4262		4.5		4.5 
12025		41997		4.5		4.0 
12025		3160		5.0		5.0 
12025		1090		4.0		4.0 
12025		27822		4.5		4.5 
12025		296		5.0		4.5 
12025		2997		5.0		4.5 
12025		2908		4.5		5.0 
12025		6565		3.5		3.0 
12025		2791		4.5		4.5 
12025		1089		5.0		4.5 
12025		150		4.0		4.0 
12025		25		4.5		5.0 
12025		246		5.0		5.0 
12025		477		4.5		2.5 
12025		750		4.5		5.0 
12028		41566		3.5		3.0 
12046		48774		4.0		4.0 
12046		1222		5.0		5.0 
12046		1610		4.5		4.0 
12051		1544		2.5		4.0 
12056		26662		4.0		4.0 
12056		431		4.0		4.0 
12056		4437		3.5		4.0 
12056		32		3.5		4.5 
12056		2726		3.5		3.5 
12259		8914		2.5		4.0 
12265		832		3.5		3.0 
12265		16		4.5		5.0 
12265		46578		4.0		5.0 
12265		1270		4.5		4.0 
12265		1302		4.5		3.5 
12265		5292		4.5		4.5 
12265		1343		3.5		3.5 
12265		2976		4.5		4.0 
12296		1028		4.5		5.0 
12296		1244		5.0		5.0 
12296		919		5.0		5.0 
12296		3469		5.0		5.0 
12296		2022		5.0		5.0 
12296		912		5.0		5.0 
12296		1077		4.5		5.0 
12296		2355		5.0		5.0 
12296		33166		5.0		4.5 
12296		2028		5.0		5.0 
12296		3996		5.0		5.0 
12451		6016		5.0		4.5 
12451		34072		5.0		4.5 
12451		899		5.0		5.0 
12451		2081		4.5		4.0 
12451		1230		4.5		5.0 
12451		4951		4.0		5.0 
12451		41569		4.0		3.0 
12451		903		4.5		5.0 
12459		3793		2.5		1.0 
12554		1222		4.0		5.0 
12554		45722		4.0		3.0 
12760		2029		4.0		3.5 
12760		37731		4.0		4.0 
12760		1821		4.0		3.5 
12818		2991		4.0		4.0 
12866		1193		5.0		5.0 
12866		357		5.0		4.5 
12888		40278		4.0		3.5 
12921		5294		2.5		5.0 
12986		1092		3.0		4.0 
13014		5618		5.0		5.0 
13014		7099		4.5		5.0 
13014		3000		5.0		5.0 
13014		26776		4.5		4.5 
13014		26662		4.5		5.0 
13043		50		5.0		5.0 
13043		5299		5.0		5.0 
13043		8958		5.0		5.0 
13056		3160		2.5		3.5 
13086		1610		4.0		4.0 
13086		2501		3.5		4.0 
13086		33794		4.0		4.0 
13086		7386		4.0		5.0 
13159		5055		4.5		2.0 
13159		2028		5.0		5.0 
13159		595		4.5		5.0 
13159		500		5.0		4.5 
13159		2699		3.5		5.0 
13159		2717		5.0		4.5 
13159		5254		4.5		2.5 
13159		7004		5.0		5.0 
13159		2001		4.5		4.0 
13159		1225		4.0		5.0 
13159		2706		5.0		2.0 
13159		2313		5.0		5.0 
13159		380		5.0		5.0 
13159		780		5.0		4.0 
13216		2858		2.5		4.5 
13230		27831		4.5		5.0 
13230		6942		4.5		5.0 
13266		3681		4.0		4.0 
13266		1090		2.5		2.0 
13283		36513		4.0		4.0 
13397		4333		4.0		4.0 
13454		5618		4.5		4.0 
13454		40815		4.5		4.5 
13454		4857		4.0		3.5 
13454		40826		4.5		4.5 
13472		6539		0.5		5.0 
13561		166		4.0		4.5 
13561		33004		4.5		4.5 
13656		567		2.5		5.0 
13694		7749		4.5		3.0 
13701		34437		4.0		4.5 
13716		34405		3.5		4.0 
13716		923		4.5		4.5 
13781		1245		3.5		4.5 
13815		532		2.5		5.0 
13890		3093		5.0		4.5 
13890		924		5.0		5.0 
13890		3246		3.5		4.0 
13897		7		3.5		3.5 
13914		1645		4.0		4.5 
13914		253		5.0		3.0 
13937		6867		5.0		5.0 
13938		8645		3.0		2.5 
13938		2264		5.0		4.0 
13970		4718		5.0		5.0 
14099		1270		3.5		5.0 
14171		45722		5.0		5.0 
14171		6539		5.0		5.0 
14222		46772		3.5		3.0 
14222		45186		3.5		2.5 
14222		44191		4.0		2.5 
14222		1682		4.0		5.0 
14222		1961		3.5		3.0 
14222		47518		3.5		3.0 
14222		2321		3.5		1.5 
14222		44195		3.5		4.5 
14222		2502		4.0		3.5 
14222		3421		4.0		0.5 
14239		1291		4.5		4.0 
14239		8636		4.5		4.5 
14239		6333		4.0		4.0 
14239		1799		4.0		3.5 
14246		4848		4.0		4.0 
14246		1230		4.0		4.0 
14292		2691		4.5		5.0 
14323		4011		4.0		4.0 
14361		55363		4.0		4.0 
14531		110		0.5		2.0 
14598		593		4.5		4.5 
14614		2288		4.0		5.0 
14614		5542		5.0		5.0 
14614		390		5.0		5.0 
14614		4848		4.5		3.0 
14648		38038		3.5		3.5 
14648		4624		4.5		4.5 
14648		1569		3.0		3.5 
14648		6957		3.5		4.5 
14648		1148		4.0		5.0 
14648		551		4.5		4.5 
14648		290		3.0		4.0 
14648		3255		4.5		3.5 
14648		745		4.5		3.5 
14653		49530		3.5		3.5 
14653		2997		3.0		4.0 
14653		7294		3.0		2.5 
14653		53956		3.0		3.5 
14653		260		3.0		3.0 
14653		33821		3.0		3.0 
14653		50923		2.0		3.0 
14653		27837		3.0		3.0 
14679		2413		3.5		3.0 
14706		4025		3.5		3.0 
14706		2724		3.5		1.5 
14706		4308		4.0		3.5 
14706		4022		3.0		3.0 
14706		30707		3.5		2.5 
14706		1235		3.5		4.0 
14706		1569		3.0		1.5 
14706		8361		3.5		3.0 
14706		1259		4.0		4.0 
14706		6299		3.5		5.0 
14706		30793		3.5		2.5 
14706		2424		3.0		2.0 
14706		2470		3.5		3.0 
14888		48394		2.5		5.0 
14895		38886		3.5		3.0 
14918		3949		4.5		4.5 
14918		33004		4.0		4.0 
14918		26662		4.0		4.0 
14918		2959		4.5		4.0 
14918		199		4.0		4.0 
14918		4975		3.5		3.0 
14918		5971		5.0		5.0 
14918		4720		4.0		4.0 
14918		2291		4.5		4.5 
14918		6539		4.0		4.0 
14918		58803		3.0		3.0 
14918		7099		4.5		4.5 
14918		56152		4.0		3.0 
14918		6709		3.5		3.0 
14918		1527		4.5		4.5 
14918		58559		4.5		4.5 
14918		5991		4.5		4.5 
14918		31658		4.5		5.0 
14918		32587		4.5		4.5 
14918		45722		3.0		3.5 
14918		2174		4.0		3.5 
14918		5952		4.5		5.0 
14918		3581		4.0		3.0 
14918		4308		4.5		5.0 
14918		1339		4.0		4.0 
14918		4034		4.5		4.0 
14918		5956		3.0		3.0 
14918		4370		3.5		3.5 
14918		7361		4.5		4.5 
14918		7153		4.5		5.0 
14918		8589		3.5		2.0 
14918		1619		4.0		3.0 
14918		4148		3.5		4.0 
14918		3994		3.5		3.5 
14918		296		4.5		4.0 
14918		3481		4.0		4.0 
14918		5690		4.5		5.0 
14918		1729		4.0		4.5 
14918		6378		4.0		5.0 
14918		3000		4.5		4.5 
14918		4963		4.0		4.0 
14918		551		4.5		5.0 
14918		353		4.5		4.0 
14918		1073		4.0		4.5 
14918		2987		4.0		5.0 
14918		1089		4.5		4.5 
14918		6541		2.5		4.5 
14918		2762		3.5		3.5 
14918		5502		3.0		3.0 
14918		4014		4.0		5.0 
14918		70		2.5		3.0 
14946		4034		3.0		4.0 
14946		1289		2.0		4.5 
14946		5684		3.5		2.0 
14979		592		4.0		4.5 
15061		5770		4.5		4.0 
15157		1080		4.0		4.0 
15157		1485		5.0		1.0 
15157		5952		5.0		5.0 
15178		7022		3.0		4.0 
15264		7048		4.0		4.5 
15264		1227		3.0		4.0 
15264		1459		4.0		2.5 
15264		4102		4.0		5.0 
15264		2976		4.0		2.5 
15264		5506		4.0		2.0 
15264		913		5.0		3.0 
15264		34534		3.0		4.0 
15264		6987		3.0		3.5 
15264		26226		4.0		2.0 
15264		1982		5.0		3.0 
15264		7438		4.0		3.5 
15264		1178		4.5		4.0 
15264		33166		4.0		4.0 
15264		6301		3.0		3.0 
15264		6188		4.0		4.0 
15264		1201		4.0		5.0 
15264		924		4.0		2.0 
15264		33660		4.0		5.0 
15264		3827		4.0		2.0 
15264		2022		3.5		4.5 
15344		994		4.5		4.5 
15714		41569		3.5		3.0 
15715		2144		3.0		1.5 
15715		2336		3.0		3.0 
15715		1246		4.0		3.5 
15715		1268		4.0		4.5 
15715		2398		4.0		2.0 
15715		319		3.5		0.5 
15715		3723		3.5		4.5 
15715		3071		3.5		3.5 
15715		4306		4.0		5.0 
15715		2997		3.0		3.5 
15715		3052		3.5		2.5 
15715		1411		3.0		4.5 
15715		6636		5.0		4.0 
15722		912		5.0		5.0 
15722		802		5.0		5.0 
15722		1033		5.0		5.0 
15780		4995		4.0		4.5 
15783		4848		5.0		5.0 
15783		2959		5.0		5.0 
15783		27727		5.0		5.0 
15783		2337		5.0		5.0 
15783		1921		5.0		5.0 
15783		720		5.0		5.0 
15783		1148		5.0		5.0 
15783		4308		5.0		5.0 
15783		6711		5.0		5.0 
15783		745		5.0		5.0 
15811		30749		4.5		5.0 
15846		4226		4.5		4.5 
15853		4407		4.5		4.0 
15853		7382		4.5		5.0 
15853		2987		4.5		3.0 
15853		4235		5.0		5.0 
15853		3176		5.0		4.5 
15853		2700		4.0		5.0 
15853		2959		5.0		5.0 
15879		55908		0.5		0.5 
15896		4776		4.5		0.5 
15896		6565		4.0		4.5 
15896		1101		3.5		3.5 
15896		8528		3.5		3.0 
15896		6936		3.5		5.0 
15896		333		3.5		3.0 
15896		8360		4.0		4.5 
15896		1754		4.0		4.5 
15896		588		3.5		4.5 
15896		6378		4.0		4.0 
15896		805		3.5		4.5 
15896		3916		4.0		5.0 
15896		3147		4.0		5.0 
15896		1302		4.0		4.0 
15896		1027		4.0		4.5 
15896		4022		5.0		5.0 
15896		5152		4.0		5.0 
15896		4223		4.0		4.5 
15896		2671		4.0		4.5 
15896		1393		4.0		2.5 
15896		41566		4.0		5.0 
15896		6323		4.0		0.5 
15896		165		3.0		2.5 
15896		5955		3.5		3.0 
15896		364		3.5		5.0 
16031		4212		4.0		4.0 
16031		6077		4.0		4.0 
16039		495		5.0		5.0 
16133		7451		3.0		3.0 
16174		1236		4.0		4.5 
16206		3676		5.0		0.5 
16289		318		4.0		5.0 
16289		6863		4.0		3.5 
16289		249		3.5		4.5 
16289		8916		4.0		4.0 
16289		924		3.0		2.5 
16289		920		3.5		3.0 
16289		4292		4.0		4.0 
16289		4246		3.5		4.0 
16289		1101		4.0		4.0 
16289		4973		4.5		4.0 
16289		1246		4.0		4.0 
16289		2803		4.0		3.5 
16295		4133		2.5		1.0 
16321		4034		3.5		4.5 
16321		3105		4.5		5.0 
16389		7782		4.0		3.0 
16389		50798		4.0		2.0 
16389		553		3.0		3.0 
16419		1721		4.0		4.0 
16419		3717		4.5		4.5 
16419		4262		4.0		5.0 
16574		1732		5.0		4.5 
16591		3793		2.0		4.0 
16610		344		3.0		4.0 
16610		5010		2.5		3.0 
16610		8360		3.5		3.5 
16610		2657		3.0		3.0 
16610		1517		4.0		4.0 
16610		2028		3.5		3.5 
16610		145		3.5		3.0 
16610		2762		3.5		4.5 
16610		158		3.0		2.5 
16610		2953		2.5		3.0 
16610		2115		3.0		3.5 
16610		8368		3.5		4.0 
16610		7147		4.0		4.0 
16610		5816		3.0		3.5 
16610		6378		3.0		3.0 
16610		8983		2.5		4.0 
16610		8970		4.0		4.0 
16610		3949		4.0		4.0 
16610		1371		2.5		3.5 
16610		6615		2.5		1.5 
16610		7254		3.0		3.5 
16610		8873		3.5		4.0 
16610		3147		3.5		4.0 
16610		7090		3.5		4.5 
16610		380		2.5		2.5 
16610		4015		2.5		1.5 
16610		1219		4.0		4.0 
16610		1210		3.5		4.5 
16610		4701		4.0		3.0 
16610		6534		2.0		2.5 
16610		5377		3.0		3.5 
16610		5128		3.0		3.0 
16610		7367		3.5		3.5 
16610		8361		3.0		2.0 
16610		296		3.5		4.0 
16610		33493		3.0		4.0 
16610		592		3.0		3.0 
16610		6947		3.0		3.0 
16610		329		2.5		4.0 
16610		33004		3.5		4.0 
16610		7323		4.0		4.0 
16610		6539		3.5		3.5 
16610		7458		3.0		3.0 
16610		1682		4.0		3.5 
16610		5502		3.5		4.0 
16610		370		2.5		0.5 
16610		5220		3.5		2.0 
16610		3994		3.5		4.0 
16610		3910		4.0		4.0 
16610		5254		2.5		2.0 
16610		6333		3.5		3.0 
16610		4148		3.0		3.0 
16610		4105		3.5		3.5 
16610		1200		3.0		3.5 
16610		6863		3.0		3.0 
16610		377		3.0		2.0 
16610		1580		3.0		2.0 
16610		2677		3.0		3.5 
16610		7361		4.0		4.0 
16610		7448		4.0		2.5 
16610		1367		2.5		3.0 
16610		1059		3.0		3.5 
16610		2393		3.0		4.0 
16610		6287		0.5		3.0 
16610		5349		3.0		3.5 
16610		3578		3.5		3.5 
16610		318		3.5		3.0 
16610		1222		3.5		4.0 
16610		1556		2.0		1.0 
16610		5989		3.5		3.5 
16610		6365		3.5		3.5 
16610		442		3.0		2.0 
16610		1215		2.5		1.5 
16610		1097		3.5		4.0 
16610		4018		3.0		2.0 
16610		4638		3.0		3.0 
16610		6934		3.5		3.0 
16610		231		3.5		3.5 
16610		2890		3.0		3.5 
16610		3448		3.0		3.0 
16610		1721		3.0		2.0 
16610		1270		3.5		4.0 
16610		6664		3.0		2.5 
16610		527		3.5		3.5 
16610		2716		3.0		3.0 
16610		7371		3.5		4.5 
16677		2387		5.0		0.5 
17074		45668		2.5		4.5 
17205		30810		2.0		5.0 
17260		1587		4.5		3.5 
17260		33162		3.0		1.5 
17260		1485		4.0		4.0 
17312		5348		3.5		3.0 
17312		3235		3.5		4.0 
17312		1206		4.0		4.5 
17312		32		3.5		4.0 
17312		3503		4.0		5.0 
17312		8622		4.5		4.0 
17312		6787		4.0		4.5 
17312		48738		3.5		3.5 
17312		25923		3.5		4.0 
17312		6591		5.0		4.5 
17312		1272		3.5		3.5 
17312		46559		4.0		4.0 
17312		1262		3.0		3.0 
17312		904		4.0		4.0 
17312		26131		3.5		4.5 
17312		4188		3.5		4.5 
17312		1884		4.0		4.0 
17312		1225		3.5		4.5 
17312		4320		3.5		4.0 
17312		5816		4.0		3.5 
17312		1288		3.5		4.0 
17312		7087		3.5		5.0 
17312		5791		2.5		3.0 
17312		7065		4.5		1.0 
17312		1293		4.0		5.0 
17312		39292		3.5		3.5 
17312		8714		3.5		3.0 
17312		6671		3.5		5.0 
17312		4338		3.5		4.0 
17334		51091		2.5		5.0 
17363		4886		2.5		5.0 
17489		47950		2.5		4.5 
17597		924		4.5		4.5 
17623		52644		3.5		2.5 
17632		296		4.0		5.0 
17647		6870		4.0		3.5 
17647		4205		3.5		4.0 
17647		5945		4.0		4.5 
17647		2641		3.0		3.0 
17647		5349		4.0		4.0 
17647		5066		5.0		4.0 
17647		1		3.5		4.0 
17647		153		2.5		3.0 
17647		3052		4.0		4.0 
17647		6953		4.0		3.5 
17647		1617		4.0		4.0 
17647		4993		3.5		3.5 
17647		6377		4.0		4.0 
17647		6874		4.0		4.0 
17647		7293		2.5		3.5 
17647		26152		2.5		3.0 
17647		33836		3.0		2.0 
17647		7153		3.0		3.5 
17647		1968		4.0		4.0 
17647		1259		4.0		4.5 
17647		8961		4.0		4.0 
17647		6333		4.0		4.0 
17647		7361		4.5		4.0 
17647		318		4.0		4.5 
17647		357		3.0		3.5 
17647		3793		4.0		4.0 
17647		1562		2.0		2.5 
17647		3457		3.5		4.5 
17647		4310		4.5		4.0 
17647		589		4.0		4.0 
17647		36401		3.5		3.5 
17647		4720		3.0		4.0 
17647		1036		3.5		3.0 
17653		39231		5.0		3.0 
17653		6155		4.5		3.5 
17653		36525		3.5		4.0 
17653		34405		5.0		4.5 
17653		4878		5.0		5.0 
17653		3270		4.0		4.0 
17688		784		3.0		4.0 
17738		1197		5.0		5.0 
17755		30793		3.5		0.5 
17755		2494		4.0		5.0 
17755		2395		4.0		5.0 
17755		1241		4.0		5.0 
17755		527		5.0		5.0 
17755		2329		4.5		5.0 
17755		1029		5.0		5.0 
17755		2160		4.5		4.5 
17755		475		4.5		5.0 
17755		33794		4.5		5.0 
17755		34579		4.0		0.5 
17755		3932		3.5		3.5 
17755		42004		4.5		4.5 
17755		5093		4.0		3.0 
17755		1198		5.0		5.0 
17755		936		4.0		5.0 
17755		29		4.5		5.0 
17755		1213		4.5		4.5 
17909		47894		5.0		5.0 
17909		4103		5.0		4.5 
17909		3060		5.0		5.0 
17909		1482		4.5		5.0 
17909		4275		5.0		5.0 
17909		45431		5.0		5.0 
17924		4027		4.5		5.0 
17924		953		4.5		5.0 
17930		3793		4.0		5.0 
17999		48774		3.5		4.5 
18015		3004		4.0		2.5 
18015		6874		3.5		2.0 
18015		1244		4.0		4.0 
18015		5954		4.0		4.0 
18015		6385		2.5		2.0 
18015		1295		4.0		4.5 
18015		27803		3.5		3.5 
18015		307		4.0		4.5 
18015		4151		3.5		3.5 
18015		4235		4.0		4.5 
18015		3969		4.0		4.0 
18015		300		3.5		3.5 
18015		5992		3.0		3.0 
18015		2442		3.5		4.0 
18015		38798		3.5		3.5 
18015		6016		4.0		5.0 
18015		1228		3.5		3.5 
18015		6100		3.5		4.0 
18015		6291		3.5		4.0 
18015		5563		3.5		3.5 
18015		1061		3.5		4.0 
18015		4308		3.5		2.0 
18015		27839		1.5		1.0 
18015		5225		4.0		5.0 
18015		7162		4.0		3.0 
18015		5525		3.5		4.0 
18015		2278		3.5		5.0 
18015		3706		3.5		3.5 
18015		322		3.5		3.5 
18015		4392		3.5		4.5 
18015		7438		3.5		2.5 
18015		1279		3.5		3.5 
18015		8970		3.5		2.5 
18015		31956		3.5		3.5 
18015		1729		4.0		4.0 
18015		4844		3.0		3.0 
18015		1464		3.0		2.5 
18015		1526		3.5		3.5 
18015		1873		3.5		4.0 
18015		34319		3.5		3.5 
18015		6596		3.5		2.0 
18015		7008		3.5		2.5 
18015		1653		4.0		4.5 
18015		3083		4.0		5.0 
18015		2427		4.5		4.0 
18015		46		4.0		3.0 
18015		2355		3.0		4.0 
18015		30803		3.5		3.5 
18015		1175		3.5		3.0 
18015		8959		2.5		4.0 
18015		1876		2.5		2.0 
18015		5668		3.5		4.5 
18015		7449		1.5		3.5 
18015		27821		3.5		3.5 
18015		6927		2.5		3.5 
18015		5516		3.5		4.0 
18015		7460		3.5		3.5 
18059		34528		4.0		4.0 
18161		44761		5.0		5.0 
18161		50		5.0		5.0 
18161		40583		4.0		4.0 
18161		29		4.5		4.0 
18206		7986		2.5		4.0 
18256		51931		4.0		3.0 
18256		527		4.0		5.0 
18367		58297		1.5		1.0 
18367		7244		1.5		1.0 
18367		6746		1.5		1.0 
18434		8033		4.5		4.0 
18461		1408		4.0		4.0 
18600		780		3.0		4.0 
18660		50153		4.5		3.0 
18666		25		3.5		1.0 
18666		4226		4.0		4.5 
18666		3094		3.0		3.5 
18666		7361		4.5		4.5 
18666		750		4.0		4.0 
18666		1680		3.5		3.5 
18666		27020		3.5		2.5 
18666		5791		3.0		3.5 
18666		1219		4.5		4.5 
18666		8368		3.5		3.5 
18666		4896		3.5		3.0 
18666		2336		3.5		3.5 
18666		1635		4.0		3.5 
18666		1947		3.5		3.5 
18666		5903		4.0		3.5 
18666		4878		4.0		4.0 
18666		4881		3.5		3.0 
18666		5279		4.0		3.5 
18666		942		3.5		4.0 
18666		6644		3.5		5.0 
18666		3578		4.0		3.0 
18666		5013		4.5		4.5 
18666		4014		3.5		3.5 
18666		916		4.0		4.0 
18666		43		3.5		3.5 
18666		35		3.5		3.5 
18666		1517		4.5		4.0 
18666		1220		4.0		3.5 
18666		32591		3.5		3.5 
18666		3570		3.5		3.0 
18666		461		3.5		3.5 
18666		37741		4.0		4.0 
18666		922		4.5		4.5 
18666		2731		3.5		4.0 
18666		5321		3.5		4.0 
18666		928		3.5		4.0 
18666		728		4.0		4.0 
18666		2181		3.5		3.5 
18666		3163		3.5		4.5 
18666		508		4.0		3.0 
18666		7153		4.0		4.0 
18666		5962		3.5		1.0 
18666		1284		4.0		4.0 
18666		538		3.5		3.5 
18666		8601		3.5		4.0 
18666		3181		5.0		4.0 
18666		7034		2.5		3.5 
18666		926		4.0		4.0 
18666		2970		3.5		4.0 
18666		930		2.5		4.0 
18666		668		2.5		4.0 
18666		2617		2.5		3.0 
18666		910		4.5		4.5 
18666		36517		3.5		3.5 
18666		37855		3.5		3.5 
18666		6552		3.5		4.0 
18666		2202		3.5		3.5 
18666		357		4.0		3.0 
18666		1188		4.5		3.5 
18666		581		4.0		4.0 
18666		5391		3.5		3.0 
18666		2183		3.0		4.0 
18666		187		3.5		4.0 
18666		541		4.0		3.5 
18666		1734		4.5		4.0 
18666		2551		3.5		3.0 
18666		2337		4.0		4.0 
18666		6671		3.0		3.5 
18666		1202		3.5		4.0 
18666		5875		3.5		3.5 
18666		562		5.0		4.0 
18666		3476		4.0		4.0 
18666		670		3.5		4.0 
18666		1464		3.0		3.5 
18666		2940		3.5		4.0 
18666		3435		5.0		4.0 
18666		41		3.5		4.0 
18666		3260		3.5		4.0 
18666		5367		3.5		4.5 
18666		5527		2.5		3.0 
18666		1704		3.5		3.0 
18666		1094		5.0		4.0 
18666		6762		3.5		3.0 
18666		549		3.5		4.5 
18666		1333		4.0		4.5 
18666		911		4.0		3.5 
18666		51678		3.5		3.5 
18666		2396		4.0		3.5 
18666		2186		3.5		4.0 
18666		3502		4.0		1.0 
18666		6776		3.5		4.0 
18666		48774		4.0		4.0 
18666		319		4.0		3.0 
18666		1217		4.0		3.5 
18666		2437		3.5		3.5 
18666		242		3.5		2.5 
18666		85		3.0		3.5 
18666		7151		3.0		3.5 
18666		3793		4.0		3.0 
18666		2153		2.5		2.0 
18666		838		3.5		3.5 
18666		218		3.5		3.0 
18666		307		4.0		4.5 
18666		8973		4.0		4.0 
18666		2590		3.5		3.5 
18666		6545		3.5		3.5 
18666		4642		4.5		4.0 
18666		2686		2.5		3.5 
18666		2908		3.5		4.0 
18666		5812		4.0		4.0 
18666		26599		4.5		3.5 
18666		3046		4.0		3.5 
18666		40629		3.5		3.5 
18666		43460		3.5		3.5 
18666		5613		3.0		3.5 
18666		6972		3.5		3.5 
18666		6217		3.5		3.0 
18666		33004		3.0		3.5 
18666		5445		3.5		3.0 
18666		5673		4.5		3.5 
18666		3008		4.0		4.0 
18687		2739		2.5		0.5 
18718		1213		5.0		5.0 
18718		1089		4.5		4.0 
18797		6942		4.5		5.0 
18797		4027		5.0		4.5 
18797		3671		3.5		5.0 
18797		3088		3.5		3.5 
18802		55280		3.0		5.0 
18802		34523		5.0		5.0 
18802		60950		4.0		4.0 
18802		6400		3.5		4.5 
18802		50872		4.0		3.5 
18802		55118		4.5		4.5 
18802		55999		2.5		3.0 
18896		44191		4.5		4.5 
18896		296		4.5		4.5 
18946		55247		5.0		5.0 
18946		3362		4.0		4.0 
18979		356		2.5		5.0 
18983		288		3.0		3.0 
19066		3019		3.0		3.5 
19131		1884		3.5		4.0 
19131		3831		3.5		4.0 
19131		29		3.5		3.5 
19131		8690		4.5		4.5 
19131		2361		5.0		4.0 
19131		33454		3.5		4.5 
19193		5669		3.0		0.5 
19306		7115		4.5		4.5 
19475		30810		5.0		4.0 
19475		4979		5.0		4.5 
19493		8636		5.0		4.5 
19493		5218		4.0		4.0 
19493		364		4.5		4.0 
19493		41569		5.0		1.0 
19519		42728		3.5		3.5 
19519		4369		3.0		2.5 
19562		5380		5.0		4.5 
19562		30816		4.0		4.5 
19562		7364		4.5		5.0 
19562		33150		4.5		4.0 
19587		214		4.0		4.5 
19668		7487		4.5		4.0 
19668		43914		4.5		4.0 
19741		1101		2.5		3.0 
19742		59615		5.0		4.0 
19820		4993		5.0		5.0 
19832		52722		2.5		0.5 
19885		1835		2.0		2.0 
19885		150		4.0		3.5 
19885		497		4.0		4.0 
19885		2640		3.0		2.5 
19885		1136		4.0		5.0 
19885		1206		4.0		5.0 
19885		597		3.0		3.0 
19885		4399		3.5		4.0 
